GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD01,Margin of Error; Total:
HD01_VD02,"Estimate; Total: - Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era"
HD02_VD02,"Margin of Error; Total: - Gulf War (9/2001 or later), no Gulf War (8/1990 to 8/2001), no Vietnam Era"
HD01_VD03,"Estimate; Total: - Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era"
HD02_VD03,"Margin of Error; Total: - Gulf War (9/2001 or later) and Gulf War (8/1990 to 8/2001), no Vietnam Era"
HD01_VD04,"Estimate; Total: - Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era"
HD02_VD04,"Margin of Error; Total: - Gulf War (9/2001 or later), and Gulf War (8/1990 to 8/2001), and Vietnam Era"
HD01_VD05,"Estimate; Total: - Gulf War (8/1990 to 8/2001), no Vietnam Era"
HD02_VD05,"Margin of Error; Total: - Gulf War (8/1990 to 8/2001), no Vietnam Era"
HD01_VD06,Estimate; Total: - Gulf War (8/1990 to 8/2001) and Vietnam Era
HD02_VD06,Margin of Error; Total: - Gulf War (8/1990 to 8/2001) and Vietnam Era
HD01_VD07,"Estimate; Total: - Vietnam Era, no Korean War, no World War II"
HD02_VD07,"Margin of Error; Total: - Vietnam Era, no Korean War, no World War II"
HD01_VD08,"Estimate; Total: - Vietnam Era and Korean War, no World War II"
HD02_VD08,"Margin of Error; Total: - Vietnam Era and Korean War, no World War II"
HD01_VD09,Estimate; Total: - Vietnam Era and Korean War and World War II
HD02_VD09,Margin of Error; Total: - Vietnam Era and Korean War and World War II
HD01_VD10,"Estimate; Total: - Korean War, no Vietnam Era, no World War II"
HD02_VD10,"Margin of Error; Total: - Korean War, no Vietnam Era, no World War II"
HD01_VD11,"Estimate; Total: - Korean War and World War II, no Vietnam Era"
HD02_VD11,"Margin of Error; Total: - Korean War and World War II, no Vietnam Era"
HD01_VD12,"Estimate; Total: - World War II, no Korean War, no Vietnam Era"
HD02_VD12,"Margin of Error; Total: - World War II, no Korean War, no Vietnam Era"
HD01_VD13,Estimate; Total: - Between Gulf War and Vietnam Era only
HD02_VD13,Margin of Error; Total: - Between Gulf War and Vietnam Era only
HD01_VD14,Estimate; Total: - Between Vietnam Era and Korean War only
HD02_VD14,Margin of Error; Total: - Between Vietnam Era and Korean War only
HD01_VD15,Estimate; Total: - Between Korean War and World War II only
HD02_VD15,Margin of Error; Total: - Between Korean War and World War II only
HD01_VD16,Estimate; Total: - Pre-World War II only
HD02_VD16,Margin of Error; Total: - Pre-World War II only
